from,to,twt_count,flwrs_count,ret_cnt,max_flwrs,date-hr,hr
2015-01-17-09-59-06,2015-01-17-10-00-06,3,424,8,361,2015-01-17-09,09
2015-01-17-10-17-43,2015-01-17-10-18-43,4,2530,29,1364,2015-01-17-10,10
2015-01-17-12-29-14,2015-01-17-12-30-14,11922,40871359,18247,3305624,2015-01-17-12,12
2015-01-17-12-36-27,2015-01-17-12-37-27,175,396828,201,118210,2015-01-17-12,12
2015-01-17-12-38-16,2015-01-17-12-39-16,3,1057,3,933,2015-01-17-12,12
2015-01-17-12-39-19,2015-01-17-12-40-19,4,18864,4,12322,2015-01-17-12,12
2015-01-17-12-40-29,2015-01-17-12-41-29,6,20927,16,10162,2015-01-17-12,12
2015-01-17-12-42-04,2015-01-17-12-43-04,3,429,3,200,2015-01-17-12,12
2015-01-17-12-43-20,2015-01-17-12-44-20,8,14559,9,10658,2015-01-17-12,12
2015-01-17-12-44-21,2015-01-17-12-45-21,5,38227,8,32007,2015-01-17-12,12
2015-01-17-12-45-25,2015-01-17-12-46-25,3,3889,5,2091,2015-01-17-12,12
2015-01-17-12-46-45,2015-01-17-12-47-45,2,230,2,115,2015-01-17-12,12
2015-01-17-12-47-47,2015-01-17-12-48-47,2,13377,3,10657,2015-01-17-12,12
2015-01-17-12-49-10,2015-01-17-12-50-10,5,838,5,376,2015-01-17-12,12
2015-01-17-12-50-28,2015-01-17-12-51-28,3,4761,3,4527,2015-01-17-12,12
2015-01-17-12-52-47,2015-01-17-12-53-47,1,278,1,278,2015-01-17-12,12
2015-01-17-12-54-32,2015-01-17-12-55-32,1,165,1,165,2015-01-17-12,12
2015-01-17-12-55-34,2015-01-17-12-56-34,11,22704,12,5042,2015-01-17-12,12
2015-01-17-12-56-35,2015-01-17-12-57-35,10,2615,10,1175,2015-01-17-12,12
2015-01-17-12-57-40,2015-01-17-12-58-40,4,1394,5,709,2015-01-17-12,12
2015-01-17-12-59-02,2015-01-17-13-00-02,3,1700,4,1480,2015-01-17-12,12
2015-01-17-13-00-07,2015-01-17-13-01-07,10,58600,12,31022,2015-01-17-13,13
2015-01-17-13-01-36,2015-01-17-13-02-36,34,35097,34,12225,2015-01-17-13,13
2015-01-17-13-02-48,2015-01-17-13-03-48,3,911,3,498,2015-01-17-13,13
2015-01-17-13-03-52,2015-01-17-13-04-52,3,4761,5,3310,2015-01-17-13,13
2015-01-17-13-05-14,2015-01-17-13-06-14,3,1632,3,827,2015-01-17-13,13
2015-01-17-13-06-15,2015-01-17-13-07-15,3,3199,3,2693,2015-01-17-13,13
2015-01-17-13-07-27,2015-01-17-13-08-27,5,1791,6,1335,2015-01-17-13,13
2015-01-17-13-08-48,2015-01-17-13-09-48,1,158,1,158,2015-01-17-13,13
2015-01-17-13-10-05,2015-01-17-13-11-05,5,7050,5,4793,2015-01-17-13,13
2015-01-17-13-11-42,2015-01-17-13-12-42,6,48633,6,41823,2015-01-17-13,13
2015-01-17-13-13-34,2015-01-17-13-14-34,8,5305,11,1490,2015-01-17-13,13
2015-01-17-13-15-00,2015-01-17-13-16-00,5,107410,7,92114,2015-01-17-13,13
2015-01-17-13-16-21,2015-01-17-13-17-21,5,8303,5,4945,2015-01-17-13,13
2015-01-17-13-17-51,2015-01-17-13-18-51,1,3,1,3,2015-01-17-13,13
2015-01-17-13-19-58,2015-01-17-13-20-58,5,3551,5,2967,2015-01-17-13,13
2015-01-17-13-21-35,2015-01-17-13-22-35,1,167,1,167,2015-01-17-13,13
2015-01-17-13-23-26,2015-01-17-13-24-26,2,270,3,223,2015-01-17-13,13
2015-01-17-13-25-04,2015-01-17-13-26-04,1,188,1,188,2015-01-17-13,13
2015-01-17-13-28-30,2015-01-17-13-29-30,7,4741,7,3050,2015-01-17-13,13
2015-01-17-13-29-44,2015-01-17-13-30-44,7,9380,9,2460,2015-01-17-13,13
2015-01-17-13-31-36,2015-01-17-13-32-36,2,375,2,260,2015-01-17-13,13
2015-01-17-13-32-37,2015-01-17-13-33-37,2,2792,3,2104,2015-01-17-13,13
2015-01-17-13-34-40,2015-01-17-13-35-40,2,1508,2,1220,2015-01-17-13,13
2015-01-17-13-35-45,2015-01-17-13-36-45,2,3587,2,2554,2015-01-17-13,13
2015-01-17-13-37-05,2015-01-17-13-38-05,5,5595,5,2693,2015-01-17-13,13
2015-01-17-13-38-07,2015-01-17-13-39-07,4,14943,4,6730,2015-01-17-13,13
2015-01-17-13-40-09,2015-01-17-13-41-09,2,5883,2,4923,2015-01-17-13,13
2015-01-17-13-41-14,2015-01-17-13-42-14,6,5296,7,3012,2015-01-17-13,13
2015-01-17-13-43-43,2015-01-17-13-44-43,11,18977,11,5042,2015-01-17-13,13
2015-01-17-13-46-07,2015-01-17-13-47-07,5,2202,5,1749,2015-01-17-13,13
2015-01-17-13-47-57,2015-01-17-13-48-57,3,25909,5,23023,2015-01-17-13,13
2015-01-17-13-49-35,2015-01-17-13-50-35,4,552,4,294,2015-01-17-13,13
2015-01-17-13-51-17,2015-01-17-13-52-17,3,6057,4,4279,2015-01-17-13,13
2015-01-17-13-52-24,2015-01-17-13-53-24,3,3848,4,2853,2015-01-17-13,13
2015-01-17-13-54-42,2015-01-17-13-55-42,4,4900,4,2382,2015-01-17-13,13
2015-01-17-13-55-47,2015-01-17-13-56-47,2,9686,3,9482,2015-01-17-13,13
2015-01-17-13-57-17,2015-01-17-13-58-17,3,3346,6,2979,2015-01-17-13,13
2015-01-17-13-59-21,2015-01-17-14-00-21,11,54441,12,31022,2015-01-17-13,13
2015-01-17-14-01-06,2015-01-17-14-02-06,7,3622,8,1175,2015-01-17-14,14
2015-01-17-14-02-12,2015-01-17-14-03-12,6,58402,13,45937,2015-01-17-14,14
2015-01-17-14-03-37,2015-01-17-14-04-37,2,2258,2,2104,2015-01-17-14,14
2015-01-17-14-04-50,2015-01-17-14-05-50,6,3169,24,1811,2015-01-17-14,14
2015-01-17-14-06-01,2015-01-17-14-07-01,2,6897,4,6730,2015-01-17-14,14
2015-01-17-14-07-03,2015-01-17-14-08-03,5,12318,8,7277,2015-01-17-14,14
2015-01-17-14-08-26,2015-01-17-14-09-26,5,3556,5,2693,2015-01-17-14,14
2015-01-17-14-09-49,2015-01-17-14-10-49,9,13550,10,7558,2015-01-17-14,14
2015-01-17-14-11-17,2015-01-17-14-12-17,6,12949,7,7605,2015-01-17-14,14
2015-01-17-14-12-18,2015-01-17-14-13-18,2,1339,2,1270,2015-01-17-14,14
2015-01-17-14-13-32,2015-01-17-14-14-32,1,311,1,311,2015-01-17-14,14
2015-01-17-14-20-19,2015-01-17-14-21-19,74,131881,85,17033,2015-01-17-14,14
2015-01-17-14-21-26,2015-01-17-14-22-26,5,9544,8,3753,2015-01-17-14,14
2015-01-17-14-23-12,2015-01-17-14-24-12,5,3369,6,2003,2015-01-17-14,14
2015-01-17-14-24-32,2015-01-17-14-25-32,2,4194,2,2724,2015-01-17-14,14
2015-01-17-14-34-19,2015-01-17-14-35-19,31,172663,45,97141,2015-01-17-14,14
2015-01-17-14-35-45,2015-01-17-14-36-45,5,3638,6,2309,2015-01-17-14,14
2015-01-17-14-38-01,2015-01-17-14-39-01,8,19446,8,9675,2015-01-17-14,14
2015-01-17-14-40-09,2015-01-17-14-41-09,5,11910,9,5163,2015-01-17-14,14
2015-01-17-14-41-18,2015-01-17-14-42-18,2,3458,8,3421,2015-01-17-14,14
2015-01-17-14-43-22,2015-01-17-14-44-22,1,94,1,94,2015-01-17-14,14
2015-01-17-14-44-35,2015-01-17-14-45-35,2,149,2,117,2015-01-17-14,14
2015-01-17-14-46-37,2015-01-17-14-47-37,8,10679,8,3343,2015-01-17-14,14
2015-01-17-14-49-26,2015-01-17-14-50-26,5,13842,5,8955,2015-01-17-14,14
2015-01-17-14-50-47,2015-01-17-14-51-47,2,84,7,80,2015-01-17-14,14
2015-01-17-14-51-53,2015-01-17-14-52-53,3,508,4,412,2015-01-17-14,14
2015-01-17-14-55-04,2015-01-17-14-56-04,2,1335,2,1220,2015-01-17-14,14
2015-01-17-14-58-12,2015-01-17-14-59-12,3,702,7,362,2015-01-17-14,14
2015-01-17-14-59-15,2015-01-17-15-00-15,4,2378,4,1053,2015-01-17-14,14
2015-01-17-15-00-16,2015-01-17-15-01-16,2,2548,4,2546,2015-01-17-15,15
2015-01-17-15-01-17,2015-01-17-15-02-17,2,5235,2,3859,2015-01-17-15,15
2015-01-17-15-02-25,2015-01-17-15-03-25,10,15099,10,4309,2015-01-17-15,15
2015-01-17-15-03-32,2015-01-17-15-04-32,3,17740,3,17117,2015-01-17-15,15
2015-01-17-15-04-33,2015-01-17-15-05-33,10,332813,14,320334,2015-01-17-15,15
2015-01-17-15-06-10,2015-01-17-15-07-10,1,165,1,165,2015-01-17-15,15
2015-01-17-15-08-04,2015-01-17-15-09-04,3,1116,3,867,2015-01-17-15,15
2015-01-17-15-09-55,2015-01-17-15-10-55,11,49499,16,28341,2015-01-17-15,15
2015-01-17-15-11-13,2015-01-17-15-12-13,5,319730,62,319230,2015-01-17-15,15
2015-01-17-15-12-31,2015-01-17-15-13-31,3,4209,3,4042,2015-01-17-15,15
2015-01-17-15-14-11,2015-01-17-15-15-11,4,1379,4,785,2015-01-17-15,15
2015-01-17-15-15-14,2015-01-17-15-16-14,6,8371,6,2398,2015-01-17-15,15
2015-01-17-15-16-47,2015-01-17-15-17-47,5,6852,6,3997,2015-01-17-15,15
2015-01-17-15-18-27,2015-01-17-15-19-27,11,12982,11,3050,2015-01-17-15,15
2015-01-17-15-19-28,2015-01-17-15-20-28,9,5430,10,1849,2015-01-17-15,15
2015-01-17-15-27-43,2015-01-17-15-28-43,16,24096,21,16681,2015-01-17-15,15
2015-01-17-15-28-47,2015-01-17-15-29-47,4,10479,4,7605,2015-01-17-15,15
2015-01-17-15-30-06,2015-01-17-15-31-06,1,2546,5,2546,2015-01-17-15,15
2015-01-17-15-31-46,2015-01-17-15-32-46,2,3201,2,3086,2015-01-17-15,15
2015-01-17-15-33-42,2015-01-17-15-34-42,3,2065,3,1220,2015-01-17-15,15
2015-01-17-15-34-45,2015-01-17-15-35-45,8,12092,8,5042,2015-01-17-15,15
2015-01-17-15-35-56,2015-01-17-15-36-56,3,2548,3,2416,2015-01-17-15,15
2015-01-17-15-37-11,2015-01-17-15-38-11,3,9297,4,7605,2015-01-17-15,15
2015-01-17-15-38-21,2015-01-17-15-39-21,3,466,4,458,2015-01-17-15,15
2015-01-17-15-39-39,2015-01-17-15-40-39,8,7945,8,2693,2015-01-17-15,15
2015-01-17-15-40-40,2015-01-17-15-41-40,3,2664,3,2104,2015-01-17-15,15
2015-01-17-15-41-42,2015-01-17-15-42-42,5,1742,6,1375,2015-01-17-15,15
2015-01-17-15-43-03,2015-01-17-15-44-03,4,1476,4,785,2015-01-17-15,15
2015-01-17-15-44-40,2015-01-17-15-45-40,3,568,3,306,2015-01-17-15,15
2015-01-17-15-45-59,2015-01-17-15-46-59,1,3,1,3,2015-01-17-15,15
2015-01-17-15-47-58,2015-01-17-15-48-58,15,10006,27,2822,2015-01-17-15,15
2015-01-17-15-52-36,2015-01-17-15-53-36,26,136216,33,35936,2015-01-17-15,15
2015-01-17-15-53-43,2015-01-17-15-54-43,3,36675,7,35936,2015-01-17-15,15
2015-01-17-15-55-16,2015-01-17-15-56-16,3,2822,3,1867,2015-01-17-15,15
2015-01-17-15-56-22,2015-01-17-15-57-22,2,366,2,311,2015-01-17-15,15
2015-01-17-15-58-14,2015-01-17-15-59-14,2,410,2,378,2015-01-17-15,15
2015-01-17-15-59-29,2015-01-17-16-00-29,2,339,2,331,2015-01-17-15,15
2015-01-17-16-00-44,2015-01-17-16-01-44,2,85,2,56,2015-01-17-16,16
2015-01-17-16-04-12,2015-01-17-16-05-12,6,4667,6,2794,2015-01-17-16,16
2015-01-17-16-05-15,2015-01-17-16-06-15,12,2504,12,973,2015-01-17-16,16
2015-01-17-16-06-17,2015-01-17-16-07-17,9,15902,9,3343,2015-01-17-16,16
2015-01-17-16-07-23,2015-01-17-16-08-23,1,772,1,772,2015-01-17-16,16
2015-01-17-16-08-25,2015-01-17-16-09-25,2,438,2,343,2015-01-17-16,16
2015-01-17-16-09-54,2015-01-17-16-10-54,2,1696,2,1665,2015-01-17-16,16
2015-01-17-16-11-10,2015-01-17-16-12-10,3,1762,8,1130,2015-01-17-16,16
2015-01-17-16-12-29,2015-01-17-16-13-29,2,7682,2,7605,2015-01-17-16,16
2015-01-17-16-14-37,2015-01-17-16-15-37,3,3269,4,1573,2015-01-17-16,16
2015-01-17-16-17-25,2015-01-17-16-18-25,2,8754,2,8133,2015-01-17-16,16
2015-01-17-16-41-01,2015-01-17-16-42-01,40,108507,110,36489,2015-01-17-16,16
2015-01-17-16-42-07,2015-01-17-16-43-07,1,2693,1,2693,2015-01-17-16,16
2015-01-17-17-43-58,2015-01-17-17-44-58,204,661778,233,320334,2015-01-17-17,17
2015-01-17-17-45-09,2015-01-17-17-46-09,6,1731,6,946,2015-01-17-17,17
2015-01-17-17-49-02,2015-01-17-17-50-02,5,21190,9,18350,2015-01-17-17,17
2015-01-17-17-54-06,2015-01-17-17-55-06,23,29120,32,6225,2015-01-17-17,17
2015-01-17-17-55-16,2015-01-17-17-56-16,5,971,5,933,2015-01-17-17,17
2015-01-17-17-56-32,2015-01-17-17-57-32,10,11024,12,3050,2015-01-17-17,17
2015-01-17-17-58-24,2015-01-17-17-59-24,6,112514,27,65228,2015-01-17-17,17
2015-01-17-17-59-44,2015-01-17-18-00-44,6,5489,6,2546,2015-01-17-17,17
2015-01-17-18-01-02,2015-01-17-18-02-02,2,120,2,118,2015-01-17-18,18
2015-01-17-18-02-09,2015-01-17-18-03-09,4,1373,4,1189,2015-01-17-18,18
2015-01-17-18-04-38,2015-01-17-18-05-38,18,38302,20,6730,2015-01-17-18,18
2015-01-17-18-05-46,2015-01-17-18-06-46,2,2987,2,2104,2015-01-17-18,18
2015-01-17-18-06-47,2015-01-17-18-07-47,2,11432,2,5716,2015-01-17-18,18
2015-01-17-18-08-16,2015-01-17-18-09-16,2,14878,4,9162,2015-01-17-18,18
2015-01-17-18-09-27,2015-01-17-18-10-27,7,12950,7,7605,2015-01-17-18,18
2015-01-17-18-10-35,2015-01-17-18-11-35,3,33082,3,24906,2015-01-17-18,18
2015-01-17-18-12-14,2015-01-17-18-13-14,8,8443,8,3050,2015-01-17-18,18
2015-01-17-18-13-16,2015-01-17-18-14-16,9,350398,14,320334,2015-01-17-18,18
2015-01-17-18-14-47,2015-01-17-18-15-47,2,65400,5,65231,2015-01-17-18,18
2015-01-17-18-16-35,2015-01-17-18-17-35,8,7117,9,3180,2015-01-17-18,18
2015-01-17-18-18-03,2015-01-17-18-19-03,4,8223,6,7605,2015-01-17-18,18
2015-01-17-18-19-30,2015-01-17-18-20-30,4,2084,5,1301,2015-01-17-18,18
2015-01-17-18-20-51,2015-01-17-18-21-51,8,5729,9,1621,2015-01-17-18,18
2015-01-17-18-21-53,2015-01-17-18-22-53,8,2784,9,986,2015-01-17-18,18
