from,to,twt_count,flwrs_count,ret_cnt,max_flwrs,date_hr,hr,favorite,momentum,accel,peak
2015-01-17-09-59-06,2015-01-17-10-59-06,7,2954,37,1364,2015-01-17-09,09,2,3,0,4264032597
2015-01-17-12-29-14,2015-01-17-13-29-14,12277,41702801,18659,3305624,2015-01-17-12,12,433,610,3934,346812661035
2015-01-17-13-29-25,2015-01-17-14-29-25,220,449806,281,45937,2015-01-17-13,13,1,20,158,9950727497
2015-01-17-14-34-19,2015-01-17-15-34-19,191,1066381,305,320334,2015-01-17-14,14,0,18,-113,12793818315
2015-01-17-15-34-31,2015-01-17-16-34-31,139,273226,171,35936,2015-01-17-15,15,0,8,36,5686156256
2015-01-17-16-41-01,2015-01-17-17-41-01,41,111200,111,36489,2015-01-17-16,16,2,7,42,7107708571
2015-01-17-17-43-58,2015-01-17-18-43-58,412,1490956,519,320334,2015-01-17-17,17,3,14,169,15637016809
2015-01-17-18-44-04,2015-01-17-19-44-04,146,240131,190,36489,2015-01-17-18,18,0,10,106,9950855765
2015-01-17-19-46-50,2015-01-17-20-46-50,179,670815,755,177434,2015-01-17-19,19,1,325,276,9950880893
2015-01-17-20-47-05,2015-01-17-21-47-05,114,324732,158,92610,2015-01-17-20,20,0,14,155,7107787615
2015-01-18-07-46-52,2015-01-18-08-46-52,2135,7636954,3105,2558472,2015-01-18-07,07,32,152,481,59706664091
2015-01-18-08-46-53,2015-01-18-09-46-53,273,521182,315,88154,2015-01-18-08,08,8,9,292,5686401958
2015-01-18-09-53-55,2015-01-18-10-53-55,747,3017016,1196,582890,2015-01-18-09,09,22,34,918,32696887411
2015-01-18-10-55-44,2015-01-18-11-55-44,664,7783744,1388,4721206,2015-01-18-10,10,20,31,50,18480905108
2015-01-18-12-04-01,2015-01-18-13-04-01,3069,8395472,4436,665769,2015-01-18-12,12,35,176,2165,102356077103
2015-01-18-13-04-04,2015-01-18-14-04-04,1167,2500453,1672,193919,2015-01-18-13,13,5,76,650,46913329973
2015-01-18-14-17-51,2015-01-18-15-17-51,1388,3668961,2318,267675,2015-01-18-14,14,11,167,734,61129619683
2015-01-18-15-18-44,2015-01-18-16-18-44,5546,20019613,9408,4721903,2015-01-18-15,15,224,411,325,226038146959
2015-01-18-17-01-39,2015-01-18-18-01-39,926,2792567,1366,651795,2015-01-18-17,17,5,21,63,18481132245
2015-01-18-19-31-39,2015-01-18-20-31-39,5397,21226719,7928,4721903,2015-01-18-19,19,95,253,1070,147849775907
2015-01-19-01-24-05,2015-01-19-02-24-05,2563,6764790,3899,426318,2015-01-19-01,01,16,97,578,69660647513
2015-01-19-02-47-40,2015-01-19-03-47-40,343,956804,458,308512,2015-01-19-02,02,0,26,302,21324950850
2015-01-19-03-48-55,2015-01-19-04-48-55,186,394765,252,39730,2015-01-19-03,03,1,4,53,5686677008
2015-01-19-04-49-13,2015-01-19-05-49-13,226,805312,321,118208,2015-01-19-04,04,4,9,133,8530042234
2015-01-19-05-49-16,2015-01-19-06-49-16,112,901718,171,508706,2015-01-19-05,05,7,7,61,5686705079
2015-01-19-12-04-56,2015-01-19-13-04-56,1270,7143003,2472,1170920,2015-01-19-12,12,10,56,257,36963818323
2015-01-19-21-39-56,2015-01-19-22-39-56,905,2840098,1324,320335,2015-01-19-21,21,6,43,87,31277301380
2015-01-19-22-44-31,2015-01-19-23-44-31,2393,8068622,3496,1300901,2015-01-19-22,22,27,146,476,56868642335
2015-01-19-23-46-16,2015-01-20-00-46-16,96,86217,113,5395,2015-01-19-23,23,0,3,8,2843483388
2015-01-20-00-47-11,2015-01-20-01-47-11,101,195425,110,17186,2015-01-20-00,00,0,0,-35,1421746883
2015-01-20-01-48-12,2015-01-20-02-48-12,100,259099,113,80638,2015-01-20-01,01,0,1,69,1421751899
2015-01-20-02-49-16,2015-01-20-03-49-16,87,77497,107,7604,2015-01-20-02,02,0,1,-8,1421752919
2015-01-20-03-49-42,2015-01-20-04-49-42,97,316086,126,48521,2015-01-20-03,03,0,4,-50,1421756591
2015-01-20-04-49-54,2015-01-20-05-49-54,90,208002,117,27122,2015-01-20-04,04,1,12,186,5687043514
2015-01-20-05-50-21,2015-01-20-06-50-21,85,235372,105,62632,2015-01-20-05,05,0,3,-46,4265295287
2015-01-20-06-50-49,2015-01-20-07-50-49,9,9640,10,2693,2015-01-20-06,06,0,0,0,0
2015-01-20-21-11-06,2015-01-20-22-11-06,921,5264511,1537,1237838,2015-01-20-21,21,4,110,254,32700766770
2015-01-24-15-08-51,2015-01-24-16-08-51,11746,33856221,21112,4900781,2015-01-24-15,15,831,429,2718,284375635232
2015-01-25-15-59-49,2015-01-25-16-59-49,4458,11329374,6421,597904,2015-01-25-15,15,17,115,785,88166116349
2015-02-02-05-24-13,2015-02-02-06-24-13,404,6694584,701,4721701,2015-02-02-05,05,2,26,46,18486710768
2015-02-02-10-03-56,2015-02-02-11-03-56,129773,704387793,209045,9623882,2015-02-02-10,10,10911,7682,55838,4285211482403
2015-02-02-11-04-05,2015-02-02-12-04-05,1228,5132228,1732,1231800,2015-02-02-11,11,4,68,935,49801707625
2015-02-02-12-04-06,2015-02-02-13-04-06,1523,6250161,2569,702289,2015-02-02-12,12,8,156,1759,56916378200
2015-02-02-13-04-07,2015-02-02-14-04-07,1231,4510004,1821,494835,2015-02-02-13,13,3,142,1672,64031083395
2015-02-02-14-04-08,2015-02-02-15-04-08,1501,15549544,2106,6014382,2015-02-02-14,14,2,118,1616,41264581411
2015-02-02-15-04-11,2015-02-02-16-04-11,1327,13480497,1891,5870465,2015-02-02-15,15,0,74,463,36995916874
2015-02-02-16-04-13,2015-02-02-17-04-13,1087,3786524,3118,494835,2015-02-02-16,16,0,64,745,31304317298
2015-02-02-17-04-17,2015-02-02-18-04-17,949,4518901,1738,1037236,2015-02-02-17,17,0,128,1176,35573180315
