from,to,twt_count,flwrs_count,ret_cnt,max_flwrs,date_hr,hr
2015-01-15-16-23-55,2015-01-15-17-23-55,1,199,7,199,2015-01-15-16,16
2015-01-16-20-21-37,2015-01-16-21-21-37,7,18180,72,14335,2015-01-16-20,20
2015-01-17-01-29-12,2015-01-17-02-29-12,1,363,2,363,2015-01-17-01,01
2015-01-17-04-01-44,2015-01-17-05-01-44,2788,33707922,5995,4552529,2015-01-17-04,04
2015-01-17-05-02-54,2015-01-17-06-02-54,13,279426,23,195432,2015-01-17-05,05
2015-01-17-06-07-10,2015-01-17-07-07-10,28,55743,54,21401,2015-01-17-06,06
2015-01-17-07-07-45,2015-01-17-08-07-45,29,332525,50,128473,2015-01-17-07,07
2015-01-17-08-07-54,2015-01-17-09-07-54,47,299659,75,232404,2015-01-17-08,08
2015-01-17-09-11-16,2015-01-17-10-11-16,57,587863,109,338159,2015-01-17-09,09
2015-01-17-10-15-46,2015-01-17-11-15-46,46,97593,68,24565,2015-01-17-10,10
2015-01-17-11-16-42,2015-01-17-12-16-42,65,376338,170,172327,2015-01-17-11,11
2015-01-17-12-17-10,2015-01-17-13-17-10,62,539795,99,338159,2015-01-17-12,12
2015-01-17-13-17-36,2015-01-17-14-17-36,49,208622,85,121303,2015-01-17-13,13
2015-01-17-14-19-40,2015-01-17-15-19-40,37,103791,90,33642,2015-01-17-14,14
2015-01-17-15-50-09,2015-01-17-16-50-09,70,102404,113,19518,2015-01-17-15,15
2015-01-17-16-50-29,2015-01-17-17-50-29,46,358348,66,314862,2015-01-17-16,16
2015-01-17-17-51-29,2015-01-17-18-51-29,62,154429,102,40076,2015-01-17-17,17
2015-01-17-18-55-34,2015-01-17-19-55-34,38,373663,46,338159,2015-01-17-18,18
2015-01-17-19-56-43,2015-01-17-20-56-43,47,155676,57,87864,2015-01-17-19,19
2015-01-17-20-57-43,2015-01-17-21-57-43,52,272544,73,125800,2015-01-17-20,20
2015-01-17-21-59-41,2015-01-17-22-59-41,17,16274,19,5184,2015-01-17-21,21
2015-01-18-06-34-06,2015-01-18-07-34-06,154,361324,190,83699,2015-01-18-06,06
2015-01-18-13-44-06,2015-01-18-14-44-06,362,2168004,625,581821,2015-01-18-13,13
2015-01-18-16-54-56,2015-01-18-17-54-56,868,3243006,1309,338162,2015-01-18-16,16
2015-01-24-19-40-31,2015-01-24-20-40-31,28680,67684991,57460,1689822,2015-01-24-19,19
