from,to,twt_count,flwrs_count,ret_cnt,max_flwrs,date-hr,hr
2015-01-15-16-23-55,2015-01-15-16-24-55,1,199,7,199,2015-01-15-16,16
2015-01-16-20-21-37,2015-01-16-20-22-37,7,18180,72,14335,2015-01-16-20,20
2015-01-17-01-29-12,2015-01-17-01-30-12,1,363,2,363,2015-01-17-01,01
2015-01-17-04-01-44,2015-01-17-04-02-44,2292,29081950,5043,4552529,2015-01-17-04,04
2015-01-17-04-55-39,2015-01-17-04-56-39,494,4623876,950,951322,2015-01-17-04,04
2015-01-17-05-00-44,2015-01-17-05-01-44,2,2096,2,1084,2015-01-17-05,05
2015-01-17-05-02-54,2015-01-17-05-03-54,1,58,1,58,2015-01-17-05,05
2015-01-17-05-06-19,2015-01-17-05-07-19,1,1673,1,1673,2015-01-17-05,05
2015-01-17-05-14-43,2015-01-17-05-15-43,2,7043,6,6907,2015-01-17-05,05
2015-01-17-05-18-24,2015-01-17-05-19-24,1,325,1,325,2015-01-17-05,05
2015-01-17-05-27-21,2015-01-17-05-28-21,1,317,1,317,2015-01-17-05,05
2015-01-17-05-37-15,2015-01-17-05-38-15,1,242,1,242,2015-01-17-05,05
2015-01-17-05-43-18,2015-01-17-05-44-18,1,190,1,190,2015-01-17-05,05
2015-01-17-05-58-10,2015-01-17-05-59-10,2,68746,4,67426,2015-01-17-05,05
2015-01-17-06-00-32,2015-01-17-06-01-32,3,200832,7,195432,2015-01-17-06,06
2015-01-17-06-07-10,2015-01-17-06-08-10,1,76,1,76,2015-01-17-06,06
2015-01-17-06-08-32,2015-01-17-06-09-32,2,1645,2,1158,2015-01-17-06,06
2015-01-17-06-09-58,2015-01-17-06-10-58,2,2518,4,2291,2015-01-17-06,06
2015-01-17-06-11-54,2015-01-17-06-12-54,1,21401,9,21401,2015-01-17-06,06
2015-01-17-06-14-35,2015-01-17-06-15-35,1,389,2,389,2015-01-17-06,06
2015-01-17-06-16-22,2015-01-17-06-17-22,1,316,3,316,2015-01-17-06,06
2015-01-17-06-19-01,2015-01-17-06-20-01,1,389,4,389,2015-01-17-06,06
2015-01-17-06-22-45,2015-01-17-06-23-45,1,2603,2,2603,2015-01-17-06,06
2015-01-17-06-26-37,2015-01-17-06-27-37,1,8657,2,8657,2015-01-17-06,06
2015-01-17-06-30-57,2015-01-17-06-31-57,1,1017,1,1017,2015-01-17-06,06
2015-01-17-06-42-00,2015-01-17-06-43-00,1,185,1,185,2015-01-17-06,06
2015-01-17-06-44-09,2015-01-17-06-45-09,2,531,3,453,2015-01-17-06,06
2015-01-17-06-48-13,2015-01-17-06-49-13,1,76,1,76,2015-01-17-06,06
2015-01-17-06-49-36,2015-01-17-06-50-36,2,3589,4,3310,2015-01-17-06,06
2015-01-17-06-50-48,2015-01-17-06-51-48,1,523,1,523,2015-01-17-06,06
2015-01-17-06-53-00,2015-01-17-06-54-00,1,579,1,579,2015-01-17-06,06
2015-01-17-06-54-08,2015-01-17-06-55-08,1,54,1,54,2015-01-17-06,06
2015-01-17-06-59-00,2015-01-17-07-00-00,1,8,1,8,2015-01-17-06,06
2015-01-17-07-00-02,2015-01-17-07-01-02,4,7883,9,5597,2015-01-17-07,07
2015-01-17-07-02-20,2015-01-17-07-03-20,1,6,1,6,2015-01-17-07,07
2015-01-17-07-04-10,2015-01-17-07-05-10,1,3298,1,3298,2015-01-17-07,07
2015-01-17-07-07-45,2015-01-17-07-08-45,1,357,1,357,2015-01-17-07,07
2015-01-17-07-09-29,2015-01-17-07-10-29,1,835,1,835,2015-01-17-07,07
2015-01-17-07-17-40,2015-01-17-07-18-40,2,449,4,263,2015-01-17-07,07
2015-01-17-07-23-44,2015-01-17-07-24-44,1,119,2,119,2015-01-17-07,07
2015-01-17-07-26-09,2015-01-17-07-27-09,1,577,1,577,2015-01-17-07,07
2015-01-17-07-27-48,2015-01-17-07-28-48,1,95,1,95,2015-01-17-07,07
2015-01-17-07-31-15,2015-01-17-07-32-15,1,153,1,153,2015-01-17-07,07
2015-01-17-07-37-34,2015-01-17-07-38-34,3,889,5,702,2015-01-17-07,07
2015-01-17-07-38-52,2015-01-17-07-39-52,2,760,2,706,2015-01-17-07,07
2015-01-17-07-40-10,2015-01-17-07-41-10,1,128473,9,128473,2015-01-17-07,07
2015-01-17-07-41-16,2015-01-17-07-42-16,1,33,1,33,2015-01-17-07,07
2015-01-17-07-45-22,2015-01-17-07-46-22,3,84584,8,84046,2015-01-17-07,07
2015-01-17-07-49-27,2015-01-17-07-50-27,1,706,1,706,2015-01-17-07,07
2015-01-17-07-50-56,2015-01-17-07-51-56,2,2224,3,2038,2015-01-17-07,07
2015-01-17-07-54-33,2015-01-17-07-55-33,1,89,1,89,2015-01-17-07,07
2015-01-17-08-00-05,2015-01-17-08-01-05,1,14372,1,14372,2015-01-17-08,08
2015-01-17-08-01-14,2015-01-17-08-02-14,2,86203,2,84753,2015-01-17-08,08
2015-01-17-08-03-16,2015-01-17-08-04-16,2,1143,2,647,2015-01-17-08,08
2015-01-17-08-05-04,2015-01-17-08-06-04,2,10464,4,10297,2015-01-17-08,08
2015-01-17-08-07-54,2015-01-17-08-08-54,1,292,1,292,2015-01-17-08,08
