from,to,twt_count,flwrs_count,ret_cnt
2015-01-17 09:59:06,2015-01-17 10:59:06,7,2954,2
2015-01-17 12:29:14,2015-01-17 13:29:14,12277,41702801,498
2015-01-17 13:29:25,2015-01-17 14:29:25,220,449806,1
2015-01-17 14:34:19,2015-01-17 15:34:19,191,1066381,1
2015-01-17 15:34:31,2015-01-17 16:34:31,139,273226,3
2015-01-17 16:41:01,2015-01-17 17:41:01,41,111200,4
2015-01-17 17:43:58,2015-01-17 18:43:58,412,1490956,5
2015-01-17 18:44:04,2015-01-17 19:44:04,146,240131,1
2015-01-17 19:46:50,2015-01-17 20:46:50,179,670815,2
2015-01-17 20:47:05,2015-01-17 21:47:05,114,324732,1
2015-01-18 07:46:52,2015-01-18 08:46:52,2135,7636954,60
2015-01-18 08:46:53,2015-01-18 09:46:53,273,521182,2
2015-01-18 09:53:55,2015-01-18 10:53:55,747,3017016,28
2015-01-18 10:55:44,2015-01-18 11:55:44,664,7783744,28
2015-01-18 12:04:01,2015-01-18 13:04:01,3069,8395472,27
2015-01-18 13:04:04,2015-01-18 14:04:04,1167,2500453,16
2015-01-18 14:17:51,2015-01-18 15:17:51,1388,3668961,26
2015-01-18 15:18:44,2015-01-18 16:18:44,5546,20019613,261
2015-01-18 17:01:39,2015-01-18 18:01:39,926,2792567,14
2015-01-18 19:31:39,2015-01-18 20:31:39,5397,21226719,136
2015-01-19 01:24:05,2015-01-19 02:24:05,2563,6764790,28
2015-01-19 02:47:40,2015-01-19 03:47:40,343,956804,1
2015-01-19 03:48:55,2015-01-19 04:48:55,186,394765,2
2015-01-19 04:49:13,2015-01-19 05:49:13,226,805312,11
2015-01-19 05:49:16,2015-01-19 06:49:16,112,901718,15
2015-01-19 12:04:56,2015-01-19 13:04:56,1270,7143003,19
2015-01-19 21:39:56,2015-01-19 22:39:56,905,2840098,18
2015-01-19 22:44:31,2015-01-19 23:44:31,2393,8068622,32
2015-01-19 23:46:16,2015-01-20 00:46:16,96,86217,0
2015-01-20 00:47:11,2015-01-20 01:47:11,101,195425,0
2015-01-20 01:48:12,2015-01-20 02:48:12,100,259099,0
2015-01-20 02:49:16,2015-01-20 03:49:16,87,77497,0
2015-01-20 03:49:42,2015-01-20 04:49:42,97,316086,0
2015-01-20 04:49:54,2015-01-20 05:49:54,90,208002,4
2015-01-20 05:50:21,2015-01-20 06:50:21,85,235372,2
2015-01-20 06:50:49,2015-01-20 07:50:49,9,9640,0
2015-01-20 21:11:06,2015-01-20 22:11:06,921,5264511,15
2015-01-24 15:08:51,2015-01-24 16:08:51,11746,33856221,878
2015-01-25 15:59:49,2015-01-25 16:59:49,4458,11329374,39
2015-02-02 05:24:13,2015-02-02 06:24:13,404,6694584,10
2015-02-02 10:03:56,2015-02-02 11:03:56,129773,704387793,10005
2015-02-02 11:04:05,2015-02-02 12:04:05,1228,5132228,19
2015-02-02 12:04:06,2015-02-02 13:04:06,1523,6250161,20
2015-02-02 13:04:07,2015-02-02 14:04:07,1231,4510004,10
2015-02-02 14:04:08,2015-02-02 15:04:08,1501,15549544,10
2015-02-02 15:04:11,2015-02-02 16:04:11,1327,13480497,3
2015-02-02 16:04:13,2015-02-02 17:04:13,1087,3786524,3
2015-02-02 17:04:17,2015-02-02 18:04:17,949,4518901,2
2015-02-02 18:04:29,2015-02-02 19:04:29,1045,2426790,6
2015-02-02 19:04:35,2015-02-02 20:04:35,771,3816397,2
2015-02-02 20:04:36,2015-02-02 21:04:36,775,5329656,4
2015-02-02 21:04:37,2015-02-02 22:04:37,706,1953643,0
2015-02-02 22:04:38,2015-02-02 23:04:38,595,1758611,1
2015-02-02 23:04:43,2015-02-03 00:04:43,468,3526957,2
2015-02-03 00:05:04,2015-02-03 01:05:04,411,2641154,1
2015-02-03 01:05:07,2015-02-03 02:05:07,377,2246766,0
2015-02-03 02:05:08,2015-02-03 03:05:08,419,4268679,0
2015-02-03 03:05:09,2015-02-03 04:05:09,395,1743154,0
2015-02-03 04:05:14,2015-02-03 05:05:14,518,3814858,4
2015-02-03 05:05:15,2015-02-03 06:05:15,647,4281297,5
2015-02-03 06:05:18,2015-02-03 07:05:18,713,5357596,10
2015-02-03 07:05:23,2015-02-03 08:05:23,797,3409294,12
2015-02-03 08:05:32,2015-02-03 09:05:32,1048,8021531,10
2015-02-03 09:05:35,2015-02-03 10:05:35,1021,6755222,8
2015-02-03 10:05:36,2015-02-03 11:05:36,1071,3777584,4
2015-02-03 11:05:44,2015-02-03 12:05:44,972,6775537,4
2015-02-03 12:05:46,2015-02-03 13:05:46,1092,5381418,4
