from,to,twt_count,flwrs_count,ret_cnt
2015-01-15 16:23:55,2015-01-15 17:23:55,1,199,0
2015-01-16 20:21:37,2015-01-16 21:21:37,7,18180,1
2015-01-17 01:29:12,2015-01-17 02:29:12,1,363,0
2015-01-17 04:01:44,2015-01-17 05:01:44,2788,33707922,134
2015-01-17 05:02:54,2015-01-17 06:02:54,13,279426,8
2015-01-17 06:07:10,2015-01-17 07:07:10,28,55743,2
2015-01-17 07:07:45,2015-01-17 08:07:45,29,332525,1
2015-01-17 08:07:54,2015-01-17 09:07:54,47,299659,1
2015-01-17 09:11:16,2015-01-17 10:11:16,57,587863,6
2015-01-17 10:15:46,2015-01-17 11:15:46,46,97593,1
2015-01-17 11:16:42,2015-01-17 12:16:42,65,376338,0
2015-01-17 12:17:10,2015-01-17 13:17:10,62,539795,0
2015-01-17 13:17:36,2015-01-17 14:17:36,49,208622,0
2015-01-17 14:19:40,2015-01-17 15:19:40,37,103791,0
2015-01-17 15:50:09,2015-01-17 16:50:09,70,102404,2
2015-01-17 16:50:29,2015-01-17 17:50:29,46,358348,1
2015-01-17 17:51:29,2015-01-17 18:51:29,62,154429,3
2015-01-17 18:55:34,2015-01-17 19:55:34,38,373663,0
2015-01-17 19:56:43,2015-01-17 20:56:43,47,155676,1
2015-01-17 20:57:43,2015-01-17 21:57:43,52,272544,1
2015-01-17 21:59:41,2015-01-17 22:59:41,17,16274,0
2015-01-18 06:34:06,2015-01-18 07:34:06,154,361324,2
2015-01-18 13:44:06,2015-01-18 14:44:06,362,2168004,14
2015-01-18 16:54:56,2015-01-18 17:54:56,868,3243006,30
2015-01-24 19:40:31,2015-01-24 20:40:31,28680,67684991,702
2015-01-27 12:49:15,2015-01-27 13:49:15,24733,95657879,730
2015-01-27 17:32:23,2015-01-27 18:32:23,13976,152475194,2143
2015-02-01 17:05:37,2015-02-01 18:05:37,2544,22415585,48
2015-02-01 22:31:30,2015-02-01 23:31:30,7919,120391000,404
2015-02-02 03:34:25,2015-02-02 04:34:25,29278,467023269,1540
2015-02-02 09:39:26,2015-02-02 10:39:26,61132,1814989727,42088
2015-02-02 10:58:38,2015-02-02 11:58:38,1101154,7858962861,133979
2015-02-02 11:58:39,2015-02-02 12:58:39,4717,99819232,116
2015-02-02 12:58:40,2015-02-02 13:58:40,4056,67967235,142
2015-02-02 13:58:41,2015-02-02 14:58:41,3792,63734455,98
2015-02-02 14:59:55,2015-02-02 15:59:55,3680,76681651,51
2015-02-02 15:59:56,2015-02-02 16:59:56,3118,55167399,34
2015-02-02 16:59:58,2015-02-02 17:59:58,2568,59142016,15
2015-02-02 18:00:01,2015-02-02 19:00:01,2371,46527856,11
2015-02-02 19:00:03,2015-02-02 20:00:03,2207,45941771,31
2015-02-02 20:00:04,2015-02-02 21:00:04,1741,33139284,17
2015-02-02 21:00:05,2015-02-02 22:00:05,1277,21095905,6
2015-02-02 22:00:06,2015-02-02 23:00:06,947,17288041,0
2015-02-02 23:00:08,2015-02-03 00:00:08,817,12775503,2
2015-02-03 00:00:10,2015-02-03 01:00:10,881,23009602,1
2015-02-03 01:00:12,2015-02-03 02:00:12,810,17033671,0
2015-02-03 02:00:13,2015-02-03 03:00:13,753,14124416,9
2015-02-03 03:00:16,2015-02-03 04:00:16,794,21692265,0
2015-02-03 04:00:18,2015-02-03 05:00:18,810,6593437,7
2015-02-03 05:00:20,2015-02-03 06:00:20,965,10648436,16
2015-02-03 06:00:21,2015-02-03 07:00:21,1153,32938632,45
2015-02-03 07:00:22,2015-02-03 08:00:22,34,730359,2
2015-02-03 08:10:16,2015-02-03 09:10:16,2882,33568582,54
2015-02-03 09:10:17,2015-02-03 10:10:17,1719,10318526,20
2015-02-03 10:10:19,2015-02-03 11:10:19,1329,18116221,12
2015-02-03 11:10:21,2015-02-03 12:10:21,1390,32475585,14
2015-02-03 12:10:25,2015-02-03 13:10:25,1243,25107715,4
2015-02-03 13:10:26,2015-02-03 14:10:26,1049,25145383,9
2015-02-03 14:10:27,2015-02-03 15:10:27,771,10947124,148
2015-02-03 15:10:29,2015-02-03 16:10:29,709,20630319,20
2015-02-03 16:10:30,2015-02-03 17:10:30,724,16346175,35
2015-02-03 17:10:34,2015-02-03 18:10:34,638,6149666,25
2015-02-03 18:10:58,2015-02-03 19:10:58,435,14657672,291
2015-02-03 19:11:08,2015-02-03 20:11:08,227,10919207,150
2015-02-03 20:11:11,2015-02-03 21:11:11,588,7718047,17
2015-02-03 21:11:18,2015-02-03 22:11:18,618,2799896,11
2015-02-03 22:11:24,2015-02-03 23:11:24,451,4698439,16
2015-02-03 23:13:07,2015-02-04 00:13:07,327,907987,8
2015-02-04 00:13:09,2015-02-04 01:13:09,286,4880625,9
2015-02-04 01:13:26,2015-02-04 02:13:26,560,893839,4
2015-02-04 02:13:32,2015-02-04 03:13:32,317,2616672,3
2015-02-04 03:14:03,2015-02-04 04:14:03,349,3173999,12
2015-02-04 04:14:07,2015-02-04 05:14:07,407,1704687,41
2015-02-04 05:14:11,2015-02-04 06:14:11,497,4696044,28
2015-02-04 06:14:16,2015-02-04 07:14:16,529,14583430,40
2015-02-04 07:14:19,2015-02-04 08:14:19,647,14810869,55
2015-02-04 08:14:27,2015-02-04 09:14:27,627,7490355,30
2015-02-04 09:14:29,2015-02-04 10:14:29,619,3692540,31
2015-02-04 10:14:35,2015-02-04 11:14:35,643,20323325,30
2015-02-04 11:14:39,2015-02-04 12:14:39,594,10476982,29
2015-02-04 12:14:44,2015-02-04 13:14:44,418,6036877,47
2015-02-04 13:14:48,2015-02-04 14:14:48,503,7039560,117
2015-02-04 14:14:53,2015-02-04 15:14:53,406,18653624,28
2015-02-04 15:14:54,2015-02-04 16:14:54,401,19990432,21
2015-02-04 16:15:01,2015-02-04 17:15:01,345,4741054,25
2015-02-04 17:15:16,2015-02-04 18:15:16,353,7089850,27
2015-02-04 18:15:21,2015-02-04 19:15:21,291,1271098,15
2015-02-04 19:16:01,2015-02-04 20:16:01,302,2621167,9
2015-02-04 20:16:17,2015-02-04 21:16:17,276,3804044,5
2015-02-04 21:16:19,2015-02-04 22:16:19,238,7514837,9
2015-02-04 22:17:01,2015-02-04 23:17:01,215,2900885,3
2015-02-04 23:17:03,2015-02-05 00:17:03,187,1616877,0
2015-02-05 00:17:30,2015-02-05 01:17:30,173,650038,4
2015-02-05 01:17:39,2015-02-05 02:17:39,143,337803,1
2015-02-05 02:17:54,2015-02-05 03:17:54,141,11013549,2
2015-02-05 03:18:33,2015-02-05 04:18:33,184,5147117,6
2015-02-05 04:20:02,2015-02-05 05:20:02,181,1371563,10
2015-02-05 05:21:15,2015-02-05 06:21:15,241,1991601,10
2015-02-05 06:21:18,2015-02-05 07:21:18,256,5767340,19
2015-02-05 07:21:26,2015-02-05 08:21:26,307,5013958,16
2015-02-05 08:21:38,2015-02-05 09:21:38,274,6664491,23
2015-02-05 10:29:36,2015-02-05 11:29:36,819,6129764,40
2015-02-05 11:29:43,2015-02-05 12:29:43,396,3905602,23
2015-02-05 12:29:53,2015-02-05 13:29:53,477,5518871,24
2015-02-05 13:30:03,2015-02-05 14:30:03,285,2526783,66
2015-02-05 14:30:17,2015-02-05 15:30:17,253,4192463,14
2015-02-05 15:30:22,2015-02-05 16:30:22,279,4476380,15
2015-02-05 16:30:25,2015-02-05 17:30:25,256,3120545,12
2015-02-05 17:30:46,2015-02-05 18:30:46,231,1403336,8
2015-02-05 18:32:01,2015-02-05 19:32:01,160,1118422,13
2015-02-05 19:34:36,2015-02-05 20:34:36,185,1496474,10
2015-02-05 20:34:54,2015-02-05 21:34:54,206,1888391,4
2015-02-05 21:34:59,2015-02-05 22:34:59,184,812621,7
2015-02-05 22:35:11,2015-02-05 23:35:11,48,3377951,55
2015-02-05 23:35:32,2015-02-06 00:35:32,93,376283,0
2015-02-06 00:40:25,2015-02-06 01:40:25,190,607286,1
2015-02-06 01:40:47,2015-02-06 02:40:47,145,340879,0
2015-02-06 02:41:04,2015-02-06 03:41:04,155,6232119,0
2015-02-06 03:42:39,2015-02-06 04:42:39,156,445880,0
