from,to,twt_count,flwrs_count,ret_cnt
2015-01-15 16:00,2015-01-15 17:00,1,199,0
2015-01-16 20:00,2015-01-16 21:00,7,18180,1
2015-01-17 01:00,2015-01-17 02:00,1,363,0
2015-01-17 04:00,2015-01-17 05:00,2788,33707922,134
2015-01-17 05:00,2015-01-17 06:00,13,279426,8
2015-01-17 06:00,2015-01-17 07:00,28,55743,2
2015-01-17 07:00,2015-01-17 08:00,29,332525,1
2015-01-17 08:00,2015-01-17 09:00,47,299659,1
2015-01-17 09:00,2015-01-17 10:00,57,587863,6
2015-01-17 10:00,2015-01-17 11:00,46,97593,1
2015-01-17 11:00,2015-01-17 12:00,65,376338,0
2015-01-17 12:00,2015-01-17 13:00,62,539795,0
2015-01-17 13:00,2015-01-17 14:00,49,208622,0
2015-01-17 14:00,2015-01-17 15:00,37,103791,0
2015-01-17 15:00,2015-01-17 16:00,70,102404,2
2015-01-17 16:00,2015-01-17 17:00,46,358348,1
2015-01-17 17:00,2015-01-17 18:00,62,154429,3
2015-01-17 18:00,2015-01-17 19:00,38,373663,0
2015-01-17 19:00,2015-01-17 20:00,47,155676,1
2015-01-17 20:00,2015-01-17 21:00,52,272544,1
2015-01-17 21:00,2015-01-17 22:00,17,16274,0
2015-01-18 06:00,2015-01-18 07:00,154,361324,2
2015-01-18 13:00,2015-01-18 14:00,362,2168004,14
2015-01-18 16:00,2015-01-18 17:00,868,3243006,30
2015-01-24 19:00,2015-01-24 20:00,28680,67684991,702
2015-01-27 12:00,2015-01-27 13:00,24733,95657879,730
2015-01-27 17:00,2015-01-27 18:00,13976,152475194,2143
2015-02-01 17:00,2015-02-01 18:00,2544,22415585,48
2015-02-01 22:00,2015-02-01 23:00,7919,120391000,404
2015-02-02 03:00,2015-02-02 04:00,29278,467023269,1540
2015-02-02 09:00,2015-02-02 10:00,61132,1814989727,42088
2015-02-02 10:00,2015-02-02 11:00,1101154,7858962861,133979
2015-02-02 11:00,2015-02-02 12:00,4717,99819232,116
2015-02-02 12:00,2015-02-02 13:00,4056,67967235,142
2015-02-02 13:00,2015-02-02 14:00,3792,63734455,98
2015-02-02 14:00,2015-02-02 15:00,3680,76681651,51
2015-02-02 15:00,2015-02-02 16:00,3118,55167399,34
2015-02-02 16:00,2015-02-02 17:00,2568,59142016,15
2015-02-02 18:00,2015-02-02 19:00,2371,46527856,11
2015-02-02 19:00,2015-02-02 20:00,2207,45941771,31
2015-02-02 20:00,2015-02-02 21:00,1741,33139284,17
2015-02-02 21:00,2015-02-02 22:00,1277,21095905,6
