from,to,twt_count,flwrs_count,ret_cnt,max_flwrs,hr
16:23:55,17:23:55,1,199,0,199,16
20:21:37,21:21:37,7,18180,1,14335,20
01:29:12,02:29:12,1,363,0,363,01
04:01:44,05:01:44,2788,33707922,134,4552529,04
05:02:54,06:02:54,13,279426,8,195432,05
06:07:10,07:07:10,28,55743,2,21401,06
07:07:45,08:07:45,29,332525,1,128473,07
08:07:54,09:07:54,47,299659,1,232404,08
09:11:16,10:11:16,57,587863,6,338159,09
10:15:46,11:15:46,46,97593,1,24565,10
11:16:42,12:16:42,65,376338,0,172327,11
12:17:10,13:17:10,62,539795,0,338159,12
13:17:36,14:17:36,49,208622,0,121303,13
14:19:40,15:19:40,37,103791,0,33642,14
15:50:09,16:50:09,70,102404,2,19518,15
16:50:29,17:50:29,46,358348,1,314862,16
17:51:29,18:51:29,62,154429,3,40076,17
18:55:34,19:55:34,38,373663,0,338159,18
19:56:43,20:56:43,47,155676,1,87864,19
20:57:43,21:57:43,52,272544,1,125800,20
21:59:41,22:59:41,17,16274,0,5184,21
06:34:06,07:34:06,154,361324,2,83699,06
13:44:06,14:44:06,362,2168004,14,581821,13
16:54:56,17:54:56,868,3243006,30,338162,16
19:40:31,20:40:31,28680,67684991,702,1689822,19
12:49:15,13:49:15,24733,95657879,730,3051037,12
17:32:23,18:32:23,13976,152475194,2143,5858708,17
17:05:37,18:05:37,2544,22415585,48,5639588,17
22:31:30,23:31:30,7919,120391000,404,5769678,22
03:34:25,04:34:25,29278,467023269,1540,5769108,03
09:39:26,10:39:26,61132,1814989727,42088,16919013,09
10:58:38,11:58:38,1101154,7858962861,133979,40902322,10
11:58:39,12:58:39,4717,99819232,116,6014289,11
12:58:40,13:58:40,4056,67967235,142,6014289,12
13:58:41,14:58:41,3792,63734455,98,3329932,13
14:59:55,15:59:55,3680,76681651,51,5040243,14
15:59:56,16:59:56,3118,55167399,34,5870469,15
16:59:58,17:59:58,2568,59142016,15,9533755,16
18:00:01,19:00:01,2371,46527856,11,4814297,18
19:00:03,20:00:03,2207,45941771,31,3304396,19
20:00:04,21:00:04,1741,33139284,17,4814297,20
21:00:05,22:00:05,1277,21095905,6,4989472,21
22:00:06,23:00:06,947,17288041,0,3046491,22
23:00:08,00:00:08,817,12775503,2,2947443,23
00:00:10,01:00:10,881,23009602,1,9533755,00
01:00:12,02:00:12,810,17033671,0,9533755,01
02:00:13,03:00:13,753,14124416,9,3329937,02
03:00:16,04:00:16,794,21692265,0,3329938,03
04:00:18,05:00:18,810,6593437,7,1088464,04
05:00:20,06:00:20,965,10648436,16,1741354,05
06:00:21,07:00:21,1153,32938632,45,6014289,06
07:00:22,08:00:22,34,730359,2,201572,07
08:10:16,09:10:16,2882,33568582,54,2887949,08
09:10:17,10:10:17,1719,10318526,20,708791,09
10:10:19,11:10:19,1329,18116221,12,6014343,10
11:10:21,12:10:21,1390,32475585,14,9533755,11
12:10:25,13:10:25,1243,25107715,4,3046510,12
